unNeighborClusters	group	medianAbundance	meanAbundance	minimumAbundance	maximumAbundance	IQRAbundance	sdAbundance	nAbundance
11	Firmicutes-Lactobacillus	0.0069721115537848604	0.01145418326693227	0.00199203187250996	0.0298804780876494	0.01444223107569721	0.013150931155603158	4
11	Firmicutes-Other	0.00298804780876494	0.009760956175298804	9.9601593625498e-4	0.05976095617529881	0.012201195219123506	0.013122729787841212	60
11	Firmicutes-Streptococcus	0.00199203187250996	0.00199203187250996	0.00199203187250996	0.00199203187250996	0	0	4
11	Firmicutes-Unknown	0.00298804780876494	0.00747011952191235	9.9601593625498e-4	0.02888446215139442	0.010458167330677288	0.008452364680145031	34
11	Firmicutes-Veillonella	0.00896414342629482	0.0099601593625498	0.00896414342629482	0.01195219123505976	0.0014940239043824705	0.0017251502067419102	3
11	Other-Cloacibacillus	0.00597609561752988	0.00597609561752988	0.00597609561752988	0.00597609561752988	0	NA	1
11	Other-Fusobacterium	0.01294820717131474	0.05438247011952191	9.9601593625498e-4	0.14342629482071714	0.11254980079681275	0.06864060282827694	5
11	Other-Other	9.9601593625498e-4	0.0018882802124833991	9.9601593625498e-4	0.01195219123505976	9.9601593625498e-4	0.0017340495766300455	144
11	Other-Unknown	9.9601593625498e-4	0.003012742418754732	9.9601593625498e-4	0.01792828685258964	0.00298804780876494	0.003256689869216815	121
11	Proteobacteria-Bilophila	0.01693227091633466	0.01693227091633466	0.01693227091633466	0.01693227091633466	0	NA	1
11	Proteobacteria-Enterobacter	0.07669322709163347	0.0796812749003984	0.04681274900398406	0.11653386454183266	0.022908366533864563	0.02603014809835056	5
11	Proteobacteria-Escherichia-Shigella	0.00298804780876494	0.009296148738379814	9.9601593625498e-4	0.02390438247011952	0.011454183266932271	0.012690248906783793	3
11	Proteobacteria-Haemophilus	0.01195219123505976	0.01195219123505976	0.00896414342629482	0.0149402390438247	0.0029880478087649393	0.004225737736174587	2
11	Proteobacteria-Other	9.9601593625498e-4	0.006604264759145245	9.9601593625498e-4	0.11254980079681276	0.00199203187250996	0.017342447922263065	176
